Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base,,
2047,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,15.24,14.89,18.1,,
2048,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,14.77,14.41,17.66,,
2049,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,14.3,13.93,17.22,,
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,13.84,13.49,16.8,,
2051,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,13.39,13.06,16.38,,
2052,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,12.98,12.65,15.97,,
2053,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,12.57,12.24,15.57,,
2054,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,12.17,11.85,15.18,,
2055,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,11.79,11.46,14.8,,
2056,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,11.4,11.09,14.43,,
2057,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,11.03,10.72,14.07,,
2058,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,10.66,10.36,13.71,,
2059,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,10.31,9.99935,13.36,,
2060,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,9.95562,9.65199,13.02,,
2061,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,9.61138,9.31042,12.67,,
2062,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,9.29624,9.0157,12.33,,
2063,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,8.99962,8.72012,12,,
2064,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,8.70756,8.43254,11.67,,
2065,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,8.42301,8.15529,11.35,,
2066,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,8.14731,7.886,11.04,,
2067,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,7.87771,7.62748,10.73,,
2068,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,7.62186,7.38004,10.43,,
2069,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,7.37446,7.14021,10.13,,
2070,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,7.13793,6.91061,9.84334,,
2071,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,6.90949,6.6881,9.56828,,
2072,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,6.68958,6.47482,9.30191,,
2073,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,6.47718,6.27172,9.04891,,
2074,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,6.27495,6.0777,8.80558,,
2075,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,6.08351,5.89014,8.57096,,
2076,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.8981,5.71142,8.35749,,
2077,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.72029,5.5393,8.16529,,
2078,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.55062,5.37563,7.98192,,
2079,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.38817,5.21818,7.80386,,
2080,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.23238,5.06771,7.63171,,
2081,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,5.08142,4.92213,7.46512,,
2082,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.93559,4.78181,7.302,,
2083,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.79426,4.647,7.14333,,
2084,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.65839,4.51708,6.9887,,
2085,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.52757,4.39211,6.83809,,
2086,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.40169,4.27188,6.69103,,
2087,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.28073,4.15557,6.54871,,
2088,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.16461,4.04279,6.41136,,
2089,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,4.05171,3.93446,6.27768,,
2090,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.94441,3.83065,6.14752,,
2091,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.84064,3.73042,6.02122,,
2092,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.74057,3.63391,5.89905,,
2093,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.6445,3.54156,5.78003,,
2094,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.55805,3.45532,5.67062,,
2095,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.47181,3.37328,5.56471,,
2096,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.38963,3.29561,5.46271,,
2097,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.31236,3.22244,5.364,,
2098,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.23884,3.15233,5.26819,,
2099,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.17123,3.08754,5.17903,,
2100,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,3.10646,3.02648,5.09182,,
2019,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,149,149,149,,
2020,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,156.4,156.4,156.4,,
2021,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,144,144,144,,
2022,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,140.9,140.9,140.9,,
2023,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,133.4,133.4,133.4,,
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,126.7,123.1,126.7,,
2025,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,118.4,115.6,121.8,,
2026,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,111.7,109.7,117.6,,
2027,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,111.3,109.6,119.9,,
2028,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,105.6,103.8,116,,
2029,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,97.6,95.33,109.3,,
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,89.91,87.09,102.7,,
2031,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,82.98,79.38,96.7,,
2032,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,77.04,73.01,92.09,,
2033,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,71.77,67.79,88.44,,
2034,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,67.43,63.7,85.71,,
2035,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,63.68,60.39,83.52,,
2036,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,60.3,57.54,81.47,,
2037,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,57.15,55.8,79.4,,
2038,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,55.07,54.07,77.31,,
2039,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,53.14,52.32,75.14,,
2040,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,51.22,50.5,72.87,,
2041,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,49.26,48.55,70.67,,
2042,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,47.2,46.41,68.48,,
2043,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,45.55,44.56,66.22,,
2044,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,43.87,42.73,64.23,,
2045,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,42.19,41.07,62.48,,
2046,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,40.58,39.54,60.6,,
2047,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,39.2,38.14,58.66,,
2048,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,37.91,36.89,56.82,,
2049,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,36.75,35.33,55.14,,
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,35.15,34.33,53.6,,
2051,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,34.18,33.41,52.21,,
2052,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,33.16,32.56,50.89,,
2053,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,32.22,31.09,49.63,,
2054,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,30.71,30.19,48.33,,
2055,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,29.84,29.21,46.98,,
2056,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,28.92,28.24,45.22,,
2057,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,28.02,27.33,43.96,,
2058,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,27.16,26.49,42.31,,
2059,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,26.37,25.72,40.84,,
2060,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,25.66,25,39.54,,
2061,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,25.01,24.28,38.24,,
2062,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,24.29,23.5,36.98,,
2063,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,23.63,22.79,35.75,,
2064,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,23,22.05,34.51,,
2065,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,22.37,21.28,33.31,,
2066,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,21.7,20.41,32.12,,
2067,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,20.96,19.5,30.96,,
2068,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,20.14,18.71,29.83,,
2069,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,19.42,18.01,28.73,,
2070,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,18.73,17.35,27.67,,
2071,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,18.1,16.7,26.64,,
2072,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,17.46,16.06,25.76,,
2073,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,16.82,15.46,24.97,,
2074,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,16.18,14.88,24.25,,
2075,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,15.56,13.87,23.55,,
2076,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,14.49,13.41,22.85,,
2077,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,13.9,12.9,22.19,,
2078,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,13.26,12.43,21.55,,
2079,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,12.65,11.99,20.92,,
2080,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,12.06,11.56,20.3,,
2081,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,11.5,11.14,19.7,,
2082,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,10.96,10.72,19.01,,
2083,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,10.46,10.3,18.54,,
2084,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,9.98512,9.87113,17.94,,
2085,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,9.55074,9.44557,17.39,,
2086,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,9.13576,9.01058,16.86,,
2087,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,8.72943,8.56723,16.36,,
2088,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,8.33798,8.128,15.86,,
2089,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,7.96627,7.69855,15.38,,
2090,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,7.60403,7.29541,14.9,,
2091,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,7.25862,6.92275,14.41,,
2092,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,6.92217,6.57378,13.94,,
2093,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,6.5891,6.24646,13.48,,
2094,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,6.25472,5.93427,13.04,,
2095,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,5.92015,5.63556,12.64,,
2096,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,5.58945,5.35021,12.26,,
2097,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,5.26944,5.07591,11.92,,
2098,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,4.96447,4.80653,11.6,,
2099,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,4.67162,4.53753,11.3,,
2100,POVCOUNTF,Female poverty headcount (number of people) ,HDI Medium,4.40717,4.28661,11.01,,
2019,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,"1,782",1782,1782,,
2020,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1825,1825,1825,,
2021,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1860,1860,1860,,
2022,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1896,1896,1896,,
2023,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1930,1930,1930,,
2024,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1961,1970,1961,,
2025,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,1998,2014,1989,,
2026,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2041,2060,2020,,
2027,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2086,2108,2052,,
2028,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2134,2160,2084,,
2029,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2187,2214,2117,,
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2242,2270,2148,,
2031,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2300,2327,2180,,
2032,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2358,2383,2212,,
2033,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2415,2438,2244,,
2034,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2470,2491,2275,,
2035,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2522,2540,2305,,
2036,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2570,2586,2334,,
2037,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2614,2628,2363,,
2038,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2655,2666,2390,,
2039,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2693,2701,2417,,
2040,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2727,2733,2444,,
2041,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2758,2763,2470,,
2042,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2787,2790,2494,,
2043,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2813,2814,2518,,
2044,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2837,2837,2541,,
2045,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2859,2859,2563,,
2046,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2880,2878,2585,,
2047,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2899,2896,2606,,
2048,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2916,2913,2627,,
2049,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2933,2929,2647,,
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2948,2944,2666,,
2051,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2962,2957,2685,,
2052,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2975,2970,2704,,
2053,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2987,2982,2722,,
2054,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2998,2992,2739,,
2055,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3008,3002,2755,,
2056,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3018,3012,2771,,
2057,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3027,3020,2786,,
2058,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3034,3028,2801,,
2059,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3042,3035,2815,,
2060,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3048,3041,2828,,
2061,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3054,3047,2841,,
2062,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3059,3052,2853,,
2063,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3063,3056,2865,,
2064,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3067,3060,2875,,
2065,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3071,3063,2885,,
2066,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3073,3065,2895,,
2067,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3075,3067,2903,,
2068,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3077,3069,2911,,
2069,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3078,3069,2918,,
2070,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3078,3070,2925,,
2071,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3078,3069,2930,,
2072,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3077,3068,2934,,
2073,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3075,3067,2938,,
2074,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3073,3064,2941,,
2075,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3071,3062,2944,,
2076,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3068,3059,2945,,
2077,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3064,3055,2946,,
2078,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3060,3050,2947,,
2079,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3055,3045,2947,,
2080,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3049,3040,2946,,
2081,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3044,3034,2944,,
2082,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3037,3027,2943,,
2083,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3030,3020,2940,,
2084,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3023,3013,2937,,
2085,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3015,3005,2934,,
2086,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,3006,2996,2929,,
2087,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2998,2987,2925,,
2088,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2988,2978,2920,,
2089,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2979,2968,2914,,
2090,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2968,2957,2908,,
2091,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2958,2947,2902,,
2092,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2947,2936,2895,,
2093,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2936,2924,2888,,
2094,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2924,2913,2880,,
2095,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2913,2901,2872,,
2096,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2901,2889,2863,,
2097,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2888,2876,2854,,
2098,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2876,2863,2845,,
2099,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2863,2850,2835,,
2100,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Medium,2850,2837,2825,,
2019,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,79,78.98,78.98,,
2020,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,79.89,79.89,79.89,,
2021,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,80.4,80.4,80.4,,
2022,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,80.95,80.95,80.95,,
2023,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,81.42,81.42,81.42,,
2024,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,81.72,82.09,81.72,,
2025,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,82.25,82.88,81.88,,
2026,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,83.02,83.78,82.17,,
2027,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,83.87,84.8,82.51,,
2028,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,84.88,85.94,82.9,,
2029,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,86.06,87.18,83.29,,
2030,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,87.38,88.52,83.67,,
2031,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,88.77,89.89,84.08,,
2032,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,90.17,91.23,84.51,,
2033,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,91.53,92.51,84.95,,
2034,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,92.8,93.69,85.36,,
2035,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,93.95,94.74,85.75,,
2036,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,94.96,95.65,86.1,,
2037,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,95.84,96.44,86.43,,
2038,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,96.59,97.1,86.75,,
2039,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,97.22,97.65,87.06,,
2040,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,97.75,98.11,87.37,,
2041,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,98.19,98.49,87.67,,
2042,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,98.56,98.79,87.9,,
2043,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,98.85,99.04,88.14,,
2044,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.09,99.25,88.37,,
2045,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.29,99.41,88.6,,
2046,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.45,99.54,88.82,,
2047,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.57,99.65,89.04,,
2048,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.67,99.73,89.25,,
2049,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.75,99.8,89.46,,
