Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2038,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,45.47,44.83,50.32
2039,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,44.19,43.56,49.18
2040,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,42.97,42.34,48.06
2041,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,41.8,41.16,46.98
2042,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,40.68,40.02,45.91
2043,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,39.59,38.91,44.87
2044,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,38.54,37.82,43.86
2045,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,37.51,36.76,42.86
2046,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,36.5,35.73,41.87
2047,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,35.52,34.73,40.9
2048,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,34.55,33.76,39.96
2049,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,33.64,32.81,39.04
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,32.73,31.91,38.15
2051,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,31.86,31.02,37.28
2052,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,31.04,30.15,36.43
2053,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,30.23,29.29,35.59
2054,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,29.42,28.44,34.77
2055,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,28.62,27.63,33.97
2056,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,27.83,26.8,33.18
2057,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,27.01,26.02,32.39
2058,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,26.24,25.22,31.63
2059,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,25.42,24.42,30.88
2060,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,24.65,23.61,30.16
2061,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,23.87,22.81,29.43
2062,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,23.1,22.03,28.7
2063,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,22.33,21.25,27.96
2064,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,21.57,20.5,27.25
2065,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,20.83,19.77,26.54
2066,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,20.12,19.06,25.86
2067,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,19.42,18.37,25.2
2068,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,18.73,17.7,24.56
2069,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,18.06,17.04,23.91
2070,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,17.42,16.42,23.29
2071,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,16.79,15.82,22.7
2072,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,16.18,15.23,22.11
2073,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,15.59,14.67,21.54
2074,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,15.03,14.14,20.97
2075,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,14.49,13.62,20.41
2076,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,13.97,13.13,19.86
2077,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,13.47,12.66,19.34
2078,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,13,12.22,18.83
2079,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,12.54,11.8,18.34
2080,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,12.11,11.4,17.86
2081,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,11.69,11,17.4
2082,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,11.27,10.6,16.94
2083,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,10.86,10.21,16.49
2084,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,10.46,9.87324,16.05
2085,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,10.09,9.56506,15.62
2086,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,9.77556,9.26795,15.2
2087,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,9.46865,8.98788,14.79
2088,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,9.17677,8.72094,14.41
2089,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,8.89857,8.47003,14.04
2090,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,8.63661,8.23228,13.68
2091,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,8.39012,8.00377,13.33
2092,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,8.15185,7.78262,12.99
2093,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,7.92082,7.56897,12.66
2094,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,7.70463,7.36917,12.36
2095,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,7.4963,7.17412,12.07
2096,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,7.29163,6.98219,11.8
2097,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,7.09104,6.79595,11.52
2098,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,6.89624,6.61472,11.26
2099,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,6.71492,6.44259,11
2100,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,6.53821,6.27492,10.79
2019,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,177.7,177.7,177.7
2020,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,187.8,187.8,187.8
2021,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,191.7,191.7,191.7
2022,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,196.3,196.3,196.3
2023,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,205.6,205.6,205.6
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,213.4,211.7,213.4
2025,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,215.8,214.7,217.5
2026,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,215.3,214.7,218.1
2027,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,212.7,212.6,216.6
2028,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,210.5,210.6,215.5
2029,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,209.3,209,215.5
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,208.6,207.4,216.2
2031,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,208.1,205.4,217.4
2032,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,207.9,203.3,219.1
2033,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,207.4,201.1,221
2034,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,206.2,198.9,222.7
2035,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,204.2,196.3,224
2036,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,201.4,193.2,224.8
2037,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,197.9,190.8,224.9
2038,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,194.9,188.1,224.8
2039,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,191.7,185.2,224.3
2040,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,188.2,181.7,223.1
2041,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,184.1,177.6,221.7
2042,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,179.5,172.4,220
2043,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,174.4,166.8,217.7
2044,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,169.2,161.3,214.9
2045,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,163.8,155.9,211.5
2046,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,158.3,150.9,207.8
2047,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,152.9,146,203.8
2048,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,147.4,141.2,199.8
2049,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,142.5,136.7,196.2
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,137.7,132.4,193
2051,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,133.1,128.7,190
2052,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,128.7,125.4,187.1
2053,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,124.4,122.1,184.4
2054,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,119.9,115.4,181.6
2055,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,114.9,111.1,178.9
2056,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,110.2,106.1,175.8
2057,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,101.8,99.79,172.4
2058,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,97.01,92.34,168.5
2059,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,91.15,84.52,163.3
2060,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,84.67,77.06,156.7
2061,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,78.06,70.26,149.6
2062,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,71.81,64.15,142.3
2063,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,65.99,57.75,133.6
2064,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,58.16,50.39,127.7
2065,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,52.59,46.02,121.2
2066,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,48.21,41.91,115
2067,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,44.13,38.11,109.1
2068,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,40.35,34.71,103.4
2069,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,36.77,31.23,95.54
2070,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,33.17,28.33,90.03
2071,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,30.04,25.83,85.1
2072,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,27.24,23.61,80.04
2073,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,24.74,21.75,75.91
2074,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,22.64,19.59,72.05
2075,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,20.38,17.94,68.42
2076,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,18.63,16.4,64.96
2077,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,16.98,15.1,61.63
2078,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,15.59,13.66,58.36
2079,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,14.13,12.65,55.18
2080,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,13.05,11.66,52.1
2081,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,12,10.6,49.09
2082,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,10.89,8.06909,46.37
2083,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,8.26005,7.31284,43.62
2084,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,7.44845,6.65132,41.07
2085,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,6.71763,6.05523,38.61
2086,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,6.05462,5.50744,36.21
2087,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,5.42806,4.99568,34.06
2088,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,4.87308,4.51944,32.26
2089,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,4.37173,4.09739,30.51
2090,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,3.91882,3.71858,28.7
2091,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,3.52684,3.37496,27
2092,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,3.1911,3.06246,25.45
2093,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,2.8985,2.77971,23.98
2094,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,2.64355,2.15678,22.64
2095,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,2.39612,1.94463,21.39
2096,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,2.15327,1.75101,18.65
2097,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,1.93344,1.56467,17.58
2098,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,1.47669,1.397,16.51
2099,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,1.32762,1.24903,15.58
2100,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,1.19539,1.12003,14.7
2019,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,437.9,437.9,437.9
2020,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,458,458,458
2021,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,476.6,476.6,476.6
2022,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,496.1,496.1,496.1
2023,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,516.9,516.9,516.9
2024,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,537.6,542.1,537.6
2025,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,564.1,570,559.4
2026,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,593,600.8,582.1
2027,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,625.2,634.9,605.4
2028,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,661.2,672.9,630
2029,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,701.3,714.7,655.8
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,745.4,760.1,682.6
2031,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,793.2,809.2,710.9
2032,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,844.8,861.7,740.8
2033,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,899.2,916.8,771.2
2034,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,955.5,973.7,802
2035,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1013,1032,833
2036,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1072,1091,864.1
2037,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1131,1150,895.8
2038,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1190,1210,928.2
2039,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1251,1270,961.5
2040,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1312,1331,996.1
2041,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1373,1392,1032
2042,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1436,1453,1069
2043,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1498,1515,1106
2044,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1561,1576,1145
2045,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1623,1637,1185
2046,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1685,1697,1225
2047,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1745,1756,1265
2048,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1803,1812,1306
2049,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1860,1867,1348
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1914,1919,1389
2051,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1966,1969,1431
2052,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2015,2016,1473
2053,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2062,2061,1516
2054,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2107,2103,1559
2055,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2148,2143,1602
2056,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2187,2180,1646
2057,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2225,2217,1690
2058,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2261,2251,1735
2059,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2295,2285,1779
2060,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2328,2317,1824
2061,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2360,2348,1868
2062,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2391,2379,1913
2063,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2422,2408,1958
2064,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2451,2437,2002
2065,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2480,2465,2047
2066,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2508,2493,2091
2067,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2535,2519,2134
2068,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2562,2545,2178
2069,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2588,2571,2221
2070,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2613,2595,2264
2071,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2638,2620,2306
2072,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2662,2643,2348
2073,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2685,2665,2389
2074,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2708,2687,2430
2075,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2730,2709,2470
2076,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2751,2729,2510
2077,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2771,2749,2549
2078,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2791,2768,2587
2079,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2809,2786,2625
2080,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2828,2803,2661
2081,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2845,2820,2697
2082,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2862,2836,2732
2083,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2878,2852,2766
2084,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2893,2866,2800
2085,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2908,2880,2833
2086,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2921,2894,2865
2087,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2935,2907,2897
2088,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2947,2919,2928
2089,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2960,2931,2958
2090,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2971,2942,2988
2091,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2982,2953,3017
2092,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,2992,2963,3045
2093,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3002,2972,3072
2094,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3011,2981,3092
2095,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3020,2989,3110
2096,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3028,2996,3128
2097,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3035,3003,3145
2098,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3041,3009,3160
2099,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3047,3014,3175
2100,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,3052,3019,3189
2019,Sanitation%Improved,Improved sanitation access (percent),HDI Low,45.99,45.99,45.99
2020,Sanitation%Improved,Improved sanitation access (percent),HDI Low,46.72,46.72,46.72
2021,Sanitation%Improved,Improved sanitation access (percent),HDI Low,47.26,47.26,47.26
2022,Sanitation%Improved,Improved sanitation access (percent),HDI Low,47.82,47.82,47.82
2023,Sanitation%Improved,Improved sanitation access (percent),HDI Low,48.44,48.44,48.44
2024,Sanitation%Improved,Improved sanitation access (percent),HDI Low,48.97,49.38,48.97
2025,Sanitation%Improved,Improved sanitation access (percent),HDI Low,49.95,50.48,49.54
2026,Sanitation%Improved,Improved sanitation access (percent),HDI Low,51.06,51.74,50.12
2027,Sanitation%Improved,Improved sanitation access (percent),HDI Low,52.36,53.18,50.7
2028,Sanitation%Improved,Improved sanitation access (percent),HDI Low,53.87,54.84,51.33
2029,Sanitation%Improved,Improved sanitation access (percent),HDI Low,55.61,56.68,52
2030,Sanitation%Improved,Improved sanitation access (percent),HDI Low,57.54,58.7,52.68
2031,Sanitation%Improved,Improved sanitation access (percent),HDI Low,59.63,60.86,53.43
2032,Sanitation%Improved,Improved sanitation access (percent),HDI Low,61.88,63.15,54.23
2033,Sanitation%Improved,Improved sanitation access (percent),HDI Low,64.19,65.49,55
2034,Sanitation%Improved,Improved sanitation access (percent),HDI Low,66.51,67.83,55.74
2035,Sanitation%Improved,Improved sanitation access (percent),HDI Low,68.79,70.13,56.44
2036,Sanitation%Improved,Improved sanitation access (percent),HDI Low,71,72.35,57.11
2037,Sanitation%Improved,Improved sanitation access (percent),HDI Low,73.14,74.5,57.76
2038,Sanitation%Improved,Improved sanitation access (percent),HDI Low,75.21,76.57,58.42
2039,Sanitation%Improved,Improved sanitation access (percent),HDI Low,77.23,78.57,59.09
2040,Sanitation%Improved,Improved sanitation access (percent),HDI Low,79.2,80.5,59.8
2041,Sanitation%Improved,Improved sanitation access (percent),HDI Low,81.13,82.38,60.53
2042,Sanitation%Improved,Improved sanitation access (percent),HDI Low,83.01,84.2,61.29
2043,Sanitation%Improved,Improved sanitation access (percent),HDI Low,84.83,85.96,62.06
2044,Sanitation%Improved,Improved sanitation access (percent),HDI Low,86.59,87.66,62.86
2045,Sanitation%Improved,Improved sanitation access (percent),HDI Low,88.27,89.26,63.64
2046,Sanitation%Improved,Improved sanitation access (percent),HDI Low,89.84,90.77,64.43
2047,Sanitation%Improved,Improved sanitation access (percent),HDI Low,91.3,92.16,65.2
2048,Sanitation%Improved,Improved sanitation access (percent),HDI Low,92.64,93.42,65.96
2049,Sanitation%Improved,Improved sanitation access (percent),HDI Low,93.84,94.54,66.71
2050,Sanitation%Improved,Improved sanitation access (percent),HDI Low,94.92,95.53,67.45
2051,Sanitation%Improved,Improved sanitation access (percent),HDI Low,95.85,96.38,68.18
2052,Sanitation%Improved,Improved sanitation access (percent),HDI Low,96.66,97.11,68.9
2053,Sanitation%Improved,Improved sanitation access (percent),HDI Low,97.35,97.71,69.62
2054,Sanitation%Improved,Improved sanitation access (percent),HDI Low,97.91,98.19,70.33
2055,Sanitation%Improved,Improved sanitation access (percent),HDI Low,98.36,98.56,71.05
2056,Sanitation%Improved,Improved sanitation access (percent),HDI Low,98.7,98.85,71.76
2057,Sanitation%Improved,Improved sanitation access (percent),HDI Low,98.97,99.08,72.47
2058,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.17,99.26,73.18
2059,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.34,99.4,73.88
2060,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.46,99.52,74.58
2061,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.56,99.61,75.28
2062,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.64,99.68,75.96
2063,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.7,99.73,76.64
2064,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.75,99.78,77.32
2065,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.8,99.82,77.99
2066,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.83,99.85,78.64
2067,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.86,99.88,79.28
2068,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.89,99.9,79.9
2069,Sanitation%Improved,Improved sanitation access (percent),HDI Low,99.91,99.92,80.52
