Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2066,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.06623,2.01794,2.36091
2067,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.03268,1.98571,2.32964
2068,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.99999,1.95451,2.2991
2069,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.96815,1.92435,2.26921
2070,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.93713,1.89506,2.23987
2071,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.90678,1.86665,2.2111
2072,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.87733,1.83922,2.18276
2073,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.84871,1.81263,2.15482
2074,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.82095,1.78672,2.12753
2075,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.79399,1.76138,2.10062
2076,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.76791,1.73707,2.07422
2077,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.74277,1.71324,2.04827
2078,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.71841,1.69033,2.02277
2079,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.69478,1.66788,1.99774
2080,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.67175,1.64611,1.97307
2081,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.64938,1.62471,1.94901
2082,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.62773,1.60408,1.92549
2083,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.60676,1.58391,1.90255
2084,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.58644,1.56431,1.8802
2085,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.56641,1.54499,1.85801
2086,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.54695,1.52615,1.83645
2087,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.5281,1.5079,1.8155
2088,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.50989,1.49025,1.79525
2089,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.49232,1.47318,1.77571
2090,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.47543,1.45678,1.75671
2091,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.45918,1.44093,1.73823
2092,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.44346,1.42547,1.7204
2093,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.42815,1.4105,1.70319
2094,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.41331,1.39597,1.68635
2095,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.3989,1.38191,1.67004
2096,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.38489,1.36826,1.65421
2097,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.37122,1.35496,1.63883
2098,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.35786,1.34193,1.6239
2099,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.34483,1.32923,1.60943
2100,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,1.33186,1.31664,1.59508
2019,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,4.1474,4.1474,4.1474
2020,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,5.08089,5.08089,5.08089
2021,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,4.57065,4.57065,4.57065
2022,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,4.33278,4.33283,4.33278
2023,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,3.97916,3.97916,3.97916
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,3.79162,3.47688,3.79162
2025,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,3.3055,3.02559,3.61213
2026,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,2.83662,2.62523,3.37173
2027,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,2.3934,2.22877,3.08424
2028,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,1.9927,1.86863,2.80317
2029,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,1.64156,1.5366,2.51227
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,1.33432,1.2443,2.24478
2031,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,1.07547,0.99362,2.01141
2032,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.85993,0.79369,1.82788
2033,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.69902,0.64319,1.67301
2034,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.56811,0.51975,1.5359
2035,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.46069,0.42425,1.41525
2036,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.3764,0.3465,1.30307
2037,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.30884,0.30648,1.19356
2038,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.27204,0.26865,1.08418
2039,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.23939,0.23434,0.97527
2040,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.20889,0.20135,0.86963
2041,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.18149,0.17188,0.771
2042,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.15723,0.14662,0.68097
2043,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.13625,0.12547,0.60361
2044,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.11883,0.10812,0.54226
2045,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.10422,0.09436,0.49024
2046,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.09235,0.08339,0.44513
2047,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0823,0.07412,0.40473
2048,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.07345,0.066,0.36883
2049,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.06545,0.05865,0.33639
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.05819,0.05254,0.3077
2051,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.05222,0.04723,0.28163
2052,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.04673,0.04233,0.25959
2053,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.04165,0.03773,0.24051
2054,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.03689,0.03348,0.22264
2055,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.03262,0.02963,0.20589
2056,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.02884,0.02622,0.19042
2057,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.02551,0.02319,0.17625
2058,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.02258,0.02056,0.16285
2059,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.02003,0.01824,0.15066
2060,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01766,0.01626,0.14022
2061,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01587,0.01468,0.13115
2062,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01448,0.01345,0.12295
2063,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0134,0.01246,0.11526
2064,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01253,0.0117,0.10802
2065,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01186,0.01112,0.10255
2066,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01133,0.01068,0.09805
2067,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0109,0.01031,0.09459
2068,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01055,0.01003,0.09376
2069,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01046,0.01001,0.09108
2070,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01039,0.00999,0.08878
2071,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01031,0.00997,0.08673
2072,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01023,0.0099,0.08491
2073,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01012,0.00981,0.0833
2074,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.01001,0.0097,0.0819
2075,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0099,0.00956,0.08049
2076,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00975,0.00939,0.07907
2077,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00956,0.0092,0.0775
2078,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00936,0.00899,0.07589
2079,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00913,0.00874,0.07397
2080,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00885,0.00845,0.07191
2081,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00851,0.00811,0.0696
2082,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00814,0.00774,0.06707
2083,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00774,0.00739,0.06441
2084,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00737,0.00702,0.06166
2085,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00692,0.00656,0.05874
2086,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00643,0.00611,0.05587
2087,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00596,0.00566,0.05309
2088,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00553,0.00525,0.05045
2089,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00514,0.00488,0.04798
2090,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0048,0.00453,0.0456
2091,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00448,0.00424,0.04336
2092,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0042,0.00396,0.04129
2093,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00392,0.0037,0.03939
2094,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00366,0.00345,0.03766
2095,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0034,0.00321,0.03609
2096,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00315,0.00298,0.03467
2097,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.0029,0.00276,0.03334
2098,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00266,0.00254,0.03213
2099,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00242,0.00234,0.03106
2100,POVCOUNTF,Female poverty headcount (number of people) ,HDI Very High,0.00221,0.00215,0.03017
2019,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,"1,571",1571,1571
2020,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1578,1578,1578
2021,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1583,1583,1583
2022,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1587,1587,1587
2023,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1591,1591,1591
2024,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1594,1595,1594
2025,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1597,1599,1597
2026,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1601,1603,1599
2027,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1605,1607,1601
2028,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1609,1611,1604
2029,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1613,1615,1606
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1617,1619,1608
2031,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1620,1622,1610
2032,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1623,1625,1611
2033,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1626,1627,1612
2034,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1628,1629,1614
2035,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1630,1631,1615
2036,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1632,1633,1615
2037,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1633,1634,1616
2038,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1634,1634,1616
2039,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1634,1635,1616
2040,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1634,1635,1616
2041,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1634,1634,1616
2042,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1633,1634,1615
2043,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1632,1633,1614
2044,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1631,1632,1613
2045,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1630,1630,1611
2046,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1628,1628,1610
2047,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1626,1626,1608
2048,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1624,1624,1606
2049,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1621,1622,1603
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1618,1619,1601
2051,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1615,1616,1598
2052,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1612,1613,1595
2053,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1609,1610,1591
2054,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1605,1606,1588
2055,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1602,1603,1584
2056,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1598,1599,1580
2057,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1594,1595,1576
2058,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1590,1591,1572
2059,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1586,1587,1568
2060,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1581,1582,1564
2061,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1577,1578,1559
2062,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1573,1574,1555
2063,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1568,1569,1551
2064,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1564,1565,1546
2065,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1559,1560,1542
2066,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1555,1556,1537
2067,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1550,1551,1533
2068,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1545,1546,1528
2069,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1541,1542,1524
2070,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1536,1537,1519
2071,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1531,1532,1515
2072,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1527,1528,1510
2073,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1522,1523,1506
2074,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1517,1518,1501
2075,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1512,1513,1496
2076,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1507,1508,1492
2077,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1503,1503,1487
2078,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1498,1499,1483
2079,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1493,1494,1478
2080,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1488,1489,1473
2081,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1483,1484,1469
2082,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1478,1479,1464
2083,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1473,1474,1459
2084,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1468,1469,1454
2085,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1463,1464,1450
2086,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1458,1459,1445
2087,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1454,1454,1440
2088,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1449,1449,1436
2089,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1444,1444,1431
2090,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1439,1439,1427
2091,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1434,1435,1422
2092,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1430,1430,1418
2093,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1425,1425,1413
2094,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1420,1421,1409
2095,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1416,1416,1404
2096,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1411,1411,1400
2097,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1407,1407,1396
2098,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1402,1402,1391
2099,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1398,1398,1387
2100,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Very High,1394,1393,1383
2019,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98,98.45,98.45
2020,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.5,98.5,98.5
2021,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.52,98.52,98.52
2022,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.55,98.55,98.55
2023,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.58,98.58,98.58
2024,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.6,98.64,98.6
2025,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.66,98.75,98.62
2026,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.77,98.88,98.65
2027,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,98.9,99.02,98.67
2028,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.04,99.16,98.7
2029,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.17,99.29,98.73
2030,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.3,99.41,98.75
2031,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.42,99.52,98.78
2032,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.53,99.62,98.81
2033,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.62,99.7,98.83
2034,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.71,99.77,98.85
2035,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.78,99.83,98.88
2036,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.83,99.87,98.9
2037,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.88,99.91,98.92
2038,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.91,99.94,98.94
2039,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.94,99.96,98.96
2040,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.96,99.97,98.98
2041,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.97,99.98,99
2042,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.98,99.99,99.02
2043,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.99,99.99,99.03
2044,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,99.99,100,99.05
2045,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.07
2046,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.08
2047,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.1
2048,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.11
2049,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.13
2050,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.14
2051,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.16
2052,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.17
2053,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.18
2054,Sanitation%Improved,Improved sanitation access (percent),HDI Very High,100,100,99.19
